AJSQ9H6I2SI8,{53: 5}
AU87N4ABUD5X4,{118: 5}
A14NXULTNR1SBC,"{202: 2, 17958: 5, 22952: 5, 26369: 5, 41560: 5, 54146: 3}"
A3380Y6GYG1ZWA,{320: 3}
A2E67G5GVDA33O,{342: 4}
AQZGUBM6I5PM5,{443: 5}
A1WBU1AM4ZKHTF,"{454: 1, 15083: 5, 46934: 5, 49313: 5, 67858: 5}"
APPWTYYPRWAEI,"{598: 5, 46133: 5}"
A2AH54MU19DB1,"{601: 5, 7688: 3}"
A3QOJG0I8UMA4R,"{603: 5, 33470: 5}"
A3AYWVIYE645P5,{626: 5}
A3UJAO7R29KGBZ,{699: 5}
ATAHPC4N9UPS3,{1003: 1}
AI0OHVDE6ELQX,{1022: 4}
A2NMQWBDWT3SQF,{1061: 3}
A1V3OMDFOLBMAU,{1082: 1}
A13WA2XMCWDBH9,{1084: 5}
A1GVD9AL01B5VC,"{1153: 5, 11836: 5}"
AN1KA06TSF7N3,{1166: 5}
A2IGXMXEJUBPMY,{1291: 1}
A475N7G1A1EIP,{1301: 4}
A1I3Q3NCGFZI4N,{1456: 5}
A2RGX7RF7JH9K9,{1509: 4}
A3JHANIC9JQVF5,{1632: 5}
A1QDI6KYB8O3WR,{1632: 5}
A3KME22YS4F8X7,"{1632: 5, 12998: 4, 29843: 4, 49674: 4}"
A37OLD09U3W17Y,"{1634: 5, 46289: 5, 67007: 5}"
ASFZJCX5XTOXJ,{1690: 5}
A1ZZEPQMMYRSJT,{1705: 4}
A1ZDPR6O8M9DI8,{1713: 4}
A1HKBHTS7AS1A2,"{1751: 1, 6466: 4}"
A2G95NI0JSI7Q9,{1763: 5}
A3NFZ2Q4MCEFV8,"{1890: 1, 61506: 5}"
A3PXUMMO9ZWGHE,{2057: 5}
AWQ18EKZT6HIA,{2073: 5}
A3EVEF4YZBW6WZ,{2083: 4}
A2GAG5JYMC1NC,{2085: 4}
A2ZLDF26921IWB,{2151: 2}
A1Z4XU9LRWVX06,{2333: 2}
A1VJ6VUK2IOSL9,"{2333: 3, 62414: 4}"
A1GI4FAE3HOKOD,{2393: 2}
A2FTZJN575CQYQ,{2454: 1}
A15NXYHOE0O4T9,"{2483: 4, 13392: 5, 15533: 5, 30188: 4, 30736: 4, 35173: 5, 40550: 2, 52038: 5, 53296: 5}"
A27TTRDBOV73JE,{2570: 1}
A1TFSNYYAJF4T0,"{2625: 5, 17071: 5, 45189: 5, 51989: 5, 55029: 4, 60015: 3, 64542: 2}"
AT7GG73OU45DZ,{2671: 3}
AKHR2TEXRPTQ,{2832: 5}
A2S40XVDY5AGAP,{3058: 1}
ADSL9QVBI9GTU,"{3149: 4, 47082: 2, 57137: 4}"
AE3QIMULKNMWT,{3166: 5}
A2NLO6O80A4QE8,{3170: 3}
A1KP45J4CDZNXL,{3179: 4}
A10E4KGQIO9M97,"{3223: 5, 62318: 5}"
A152YJTPX4IMBR,{3228: 1}
A3ERQT8ZKBJKN8,"{3336: 5, 30025: 5, 67099: 1, 68776: 1}"
A1J2UU7AXD6EH2,"{3363: 5, 52606: 5}"
A3HE5F4QL9GJCG,"{3396: 5, 47109: 5}"
A1Z1M5CJIJPE7F,"{3504: 3, 22479: 3, 31314: 5, 35653: 5, 39314: 5, 39399: 5, 51483: 4, 57589: 5}"
AM2A1BK2FUHSJ,{3508: 5}
A2UENHLQY31DX2,{3528: 1}
A1SXFXQP7C60IW,"{3553: 2, 9984: 4, 45176: 5}"
A2NTFRZWXLH4S,"{3572: 5, 17111: 5, 52215: 5}"
AFUI62YAC88FA,"{3663: 3, 7445: 5, 29934: 5, 31377: 4, 64850: 3}"
A2EA4XBVXSP98E,"{3749: 4, 7811: 5}"
A2TNYC6XZ5RE0,{3811: 2}
A8QCVZ828PNJE,"{3811: 4, 13570: 5, 14530: 5}"
A35AA3SEW9GE5M,{3811: 5}
A2JOEVXF2INOLK,{3843: 5}
A2GV43PPQVFKQS,{4103: 1}
A2GIBXL9CAN9P6,{4168: 5}
A1MQWDKSUCCKYN,{4208: 5}
A1C3I5C66QFX5P,{4233: 3}
A3T00N6J743MLC,{4451: 5}
A272SCQXUM6KZO,{4465: 3}
A1LV9QCIYB6XNR,"{4520: 5, 42411: 5}"
A1AXPAYOFPBTAW,"{4638: 5, 28049: 5}"
A8RZ7F39A37IO,{4800: 5}
A1JZ1FVJ0HBZ5F,{4860: 5}
A1JGPK8NXS7OG1,{4860: 1}
A1VO7X68TME93I,{5005: 1}
A8CAQDT4I3MFA,{5036: 5}
A2EPIJ1TFR69RM,"{5130: 5, 16169: 5, 31047: 5, 49870: 5, 56778: 5, 68184: 5, 69628: 1}"
A218B2JQWSPH3E,{5207: 1}
A2F9ZURUB2GDVS,{5238: 5}
A357JRXZV8JFN7,"{5285: 5, 23574: 5}"
A1A1WAZ625FT6T,"{5340: 4, 11228: 4, 14372: 4, 16308: 5}"
A1X45FI4VCILXE,{5350: 5}
AM4ZHXXYMZ20P,{5373: 5}
A1HKKRUVZA2VYH,"{5419: 5, 9874: 5, 12144: 5, 13570: 5, 17027: 5, 21731: 5, 30729: 5, 37449: 5, 38813: 5}"
AG2C2G474SV1I,"{5479: 4, 13937: 5}"
A2N9VSC0PL8GTE,{5583: 3}
ADPDOOXFGBX3G,{5612: 5}
A3E7PAZI235MFI,{5713: 1}
A8VXBN0XNFUW8,"{5756: 1, 8676: 2, 18897: 2, 28013: 1, 36574: 3}"
A2I9MU6LMVH9PO,{5756: 5}
AU0IJ2QD8R6AK,"{5814: 3, 43019: 5}"
A1TM378MI185E2,"{5945: 1, 16882: 5, 65548: 1}"
A20NTVC0Y45VA8,{6095: 5}
A392BISUOP87TN,"{6136: 5, 46906: 5, 57124: 5}"
A1NY9UAETLM5LI,"{6217: 3, 10033: 4, 27413: 2, 38887: 5, 39264: 4, 41124: 5, 48853: 5, 51210: 3, 59979: 5, 62451: 4, 64164: 2, 65365: 4}"
A2PCFZM0IQWSTN,"{6390: 5, 15969: 4, 23349: 5, 34615: 2, 62995: 5}"
A18USYA7DDF8BT,{6474: 5}
AXK0ZLYKEWFD8,{6605: 1}
A1LYIEOMYF8SEZ,"{6620: 4, 54232: 2, 64556: 2}"
A3OZ94DJ8IRX3O,{6634: 1}
A1ZYY6SU4UWF4W,"{6681: 3, 46870: 4}"
A3CSCL2S8D4IAG,"{6725: 4, 69801: 5}"
A1W7CZQJD7BFFA,{6849: 3}
A3ONPQMO4POB2P,"{6856: 5, 16747: 1, 46595: 5, 63532: 5}"
A22AFUQ0KRU0P1,{6927: 5}
A2KNRT1U7XJD5Y,{6991: 3}
ABWDCC1JGJE34,{7083: 5}
A3MJPW7JQRH9HU,{7083: 5}
A37K6PXRUJP1Y6,{7148: 5}
AI8FDU6N5TAJ2,{7157: 5}
A3I7HJ1YOVTSN5,{7178: 5}
A2I4BWR7I7ZTS8,"{7229: 3, 30094: 4, 69351: 4}"
A24X8NTOHY09BP,{7267: 1}
A3ALMM68AD9JPZ,{7272: 5}
A2NMWDEWM28CAG,{7276: 5}
AL61HUJMHCGG2,{7321: 5}
A12S9NQHYN3HG1,{7402: 2}
A543TQB8DC5YQ,{7414: 5}
A8RC3QIOSEDXH,{7434: 4}
A224OKDBTUC41J,"{7463: 5, 14332: 4, 38597: 4, 47705: 4, 59717: 5, 70358: 3}"
A1ZA9YM3YVB9CA,{7628: 4}
AQ1PQOG7BT8F6,"{7770: 5, 34786: 5}"
A1JOEPAJ5XNISM,{7781: 5}
A7R567F8A2EOJ,{7896: 1}
A1FQD919AH86DK,"{8072: 5, 52606: 5}"
A8OOGHHFL202A,"{8072: 5, 12564: 5, 23196: 5, 33243: 5, 59857: 5}"
AJSTJOGCRBSL9,{8072: 2}
A8ZDEVIK8AQEH,{8093: 4}
A3EOMH13UCCVZM,"{8246: 4, 15623: 3}"
A1OUZ612MXVH0E,{8283: 5}
A12153VYA26AM8,{8329: 2}
ASTWH2ZSJ80Y6,{8345: 5}
ADNHKG6TZUL6D,"{8360: 5, 21691: 1, 24031: 4, 53531: 5}"
AADYL5WFNSFLP,{8394: 5}
AGD7UK9OI3R1A,{8520: 4}
A3S1XJOEDM0X4M,"{8635: 5, 41356: 5}"
A115ZGNUABXNOT,{8749: 1}
AX1ZWPB322N2Q,{8766: 5}
A3IDJBOY74UPUS,"{8788: 1, 52309: 1, 55838: 5}"
A2FQNCXTR6UM3J,{8798: 5}
A1WFNO06XKV4YY,"{8856: 5, 63888: 5}"
AB77K5NMBB0MS,{8884: 5}
A1JOPNOW7GV9OY,{8892: 5}
A2E4W38I1VSU3L,"{8910: 5, 32891: 4}"
AKDBT8J3S5UHZ,"{8932: 4, 40518: 4}"
A31BJJ8IW5Y2OX,"{9016: 1, 9281: 5}"
A26WKSQVHXY1K4,"{9065: 5, 23814: 5, 27945: 4, 35086: 3, 35490: 1, 41605: 5, 69914: 5}"
A15XJOP4SVH2AH,{9075: 5}
A26DIQ1LI78BJL,{9139: 5}
A2BYEYPQP7KQ7Q,{9201: 5}
A351S9RWI4KOJ,{9205: 4}
A1DMVS1RCU8ZL,"{9323: 5, 39625: 5, 69315: 5}"
A1YUKUOQ8JHQ3,"{9445: 1, 63241: 4}"
A33NAXZHGMRZU7,"{9481: 5, 44324: 5, 62167: 5}"
A3UN7WGJF7ZGLB,{9511: 5}
APVO7CLIED0LT,{9591: 5}
A5KX5YOSMV8DE,{9611: 5}
A2IAODA759PVQN,{9635: 5}
A28U0VZBUQSWH2,{9725: 5}
A1URFC1FC5CRAY,{9754: 4}
A4S71POPTFE2U,{9986: 5}
A3L0JG5NYCUHJ3,{10028: 2}
A187MJW4Y5HVEK,{10147: 5}
AD08BPOCA5Z4D,{10199: 5}
ASRF6GRNEZ2P6,{10217: 5}
A142LS33BKF7FE,{10258: 5}
A11S20UBSMSEBF,{10280: 4}
A28CTPX65AS4R9,{10324: 5}
A1DLYTVWS4RAHY,"{10344: 2, 14854: 4, 49959: 2}"
A3T12WTJ4MWOQ,{10364: 5}
AZ5MO95QE6X0O,"{10573: 5, 53494: 2}"
A2WCOH3S3VZZEF,"{10914: 5, 11219: 5, 13235: 5, 37670: 5, 55748: 4, 60841: 5, 65564: 2}"
A1T5WZVOU7TO7M,{10924: 5}
A215DJXJUBJACX,{10985: 4}
AUVKP5ES135D3,"{11122: 1, 65313: 3}"
AKEVHYXARQPHQ,"{11130: 5, 67384: 5}"
A36V39OERO12LN,"{11221: 5, 35698: 5}"
A2WWKIS3AQVX0,{11221: 5}
A11ATL9U1DO1MU,{11221: 5}
A2CLSQRE9Y7BY6,"{11330: 3, 11566: 2}"
A2GCMBW66QLJ8B,{11539: 2}
A3FREEXFROTASP,"{11566: 5, 29524: 4}"
A3DC4PHWOBMU2U,"{11681: 5, 41126: 4}"
A3DYAYVGGSO9YQ,{11686: 4}
A23H4EGP17ZKHS,{11749: 5}
A2BN382Q4P4P1O,{11796: 4}
A2W3WLQ1KRO0Q8,"{11803: 5, 21180: 5, 32997: 5, 34250: 5, 36705: 5}"
A3JPV0CKZTQ1B0,{11851: 5}
A1NP427WO75S05,"{11871: 5, 32471: 5, 49600: 5}"
A26ZLJUU9DJPBJ,"{11894: 5, 67556: 5, 68658: 5}"
AD42WCETMMZ0S,{11894: 5}
A1MI7DBK3E1LOC,{11989: 2}
A14AZSEHYV4G3M,{12062: 4}
AL7XTOSLXV81,{12098: 4}
A1YOM2CMCXLZV7,{12152: 5}
A3FE23PVGUGYDT,{12171: 5}
AI1JIX4KATV4B,{12224: 5}
A2UTL420P15IL5,"{12270: 5, 43003: 4, 53615: 4, 56805: 5}"
ASGCNSS11TNMK,{12324: 4}
AWXW4YSKUO0VC,"{12325: 4, 21180: 1}"
A3UUERRU8V6HKA,{12542: 1}
A1Y3TD3C35C8P6,{12564: 4}
A1A3Q2AC6BCRZ9,{12564: 5}
A29RKVB423UDVK,"{12578: 5, 42785: 1}"
A3S78I4WR9AFT7,{12656: 5}
A2A0Z2IO084H84,"{12699: 1, 16353: 2}"
A1GIFO68ZEF66V,{12736: 4}
A326XR60MT0MN3,{12836: 4}
A5E885DCYO1B5,{12860: 4}
A2TQUYSQFEL4UA,"{12921: 5, 22378: 1, 54992: 2}"
A1F1RRKQNO5YPZ,{13003: 5}
A1NRD3B011PZDQ,"{13003: 5, 36330: 5}"
A3U9QS8DG7S7JP,{13082: 2}
A2JN3PSOAUI3ML,{13510: 4}
A2357C4D0PQUKN,{13512: 1}
A7Q7Y1Y0BC0IW,"{13570: 4, 32246: 5, 41067: 3, 58926: 5, 67549: 3}"
A3L54HBVSHIQXW,{13570: 5}
AAN0H3AU2NSU8,"{13639: 5, 42811: 5}"
A267FU71Z01CIH,"{13887: 4, 16236: 5}"
A1H37N3VKHB078,{13889: 4}
A18Y817KSQ3055,"{13952: 2, 57588: 1}"
ANG2FVCXLA7NJ,{14006: 1}
A1HD1T6KDQMC80,{14063: 1}
A1WQ4N3WBALQ91,{14079: 5}
A1Z10UZLN5V0IG,{14332: 5}
A3MV2IPD6S734I,"{14432: 5, 40580: 5}"
A1TW1Z8JCAK7LU,{14470: 5}
AXCF9JAEWR66U,{14642: 5}
A3M3REX9WW1KC9,"{14691: 4, 36287: 4}"
A1THPJF4CSBGC2,{14741: 5}
A1U2ZDEMX23O07,{14794: 4}
A10U5CB6JE15N5,{14828: 5}
A9TAJ5W20MJBV,{14833: 5}
AGVFHQESS2EMQ,{14926: 5}
A1YPIR5SU8E4S1,"{14932: 4, 17058: 5, 49688: 5, 52385: 4, 65147: 5, 68880: 5}"
A31L1UK16SK5XA,{14963: 5}
A1UERMF354KSET,{14967: 2}
A3TBGVVOA5RTF6,{15084: 5}
A2ZQOCZWZIZ60P,"{15169: 4, 38802: 4}"
A2BBQSPS7CXMX9,"{15171: 2, 26546: 5}"
A2U1ICQ8J2OBDE,{15226: 4}
A3M4EZAK1K4986,{15226: 5}
AVM0NQ0ITQS9C,{15226: 3}
ATCIYUIMB3XCC,{15366: 4}
A3ETEHX2QAXIRX,{15366: 4}
A3DVEBA4YC9CUR,{15425: 3}
AU9WKVIBXVSO,"{15445: 5, 30840: 5, 33148: 5, 48660: 5}"
A36E8QBUFHZQF3,{15450: 5}
A1L1XKNHMXCBBM,{15464: 5}
A2AUONKQ1OD4HT,"{15473: 5, 68621: 5}"
A3T8F7DSYW288F,{15520: 5}
A3BMIVZSIGYYAR,{15555: 3}
A21DGO5HNR0V0D,"{15590: 3, 47790: 2}"
A3SYIF5TDRV9OO,{15632: 4}
A1EUI1YFCSE7C2,{15663: 5}
AYJ9UB0CBI478,{15666: 3}
A15BWBCZ62XU57,{15681: 5}
A1KSFI5H42567D,{15732: 5}
ABE2C5W9NJL7L,{15739: 5}
APHBJ4TMX10R4,"{15814: 5, 59934: 4}"
A2N9M9JFOPMW6Z,{15859: 5}
A1HPH1YY1BZV8J,{15867: 2}
A3BIT9XFXTYVVT,{15903: 5}
A111BV018TH5R0,{15968: 5}
ADVS04J7W5GJN,{16079: 1}
A2EDZGK9Q25AXE,{16173: 3}
A2QV9JPCNL3S6Z,"{16312: 5, 30445: 5, 32512: 5, 32702: 5, 39756: 5, 51989: 5, 56739: 5, 58335: 5, 64354: 5, 66772: 5, 67581: 5}"
A3RAGDOLZ1F1OB,"{16384: 5, 49532: 4}"
A1I7RNQY239V2R,{16542: 5}
A2YLP9MOOZCLNN,{16564: 5}
A1ILOPL3SAH55I,"{16606: 4, 37678: 5, 42336: 5}"
A2D9DSJIH4FRMC,"{16624: 5, 66579: 4}"
A3SU498A37R0KS,{16684: 5}
A3BNCA1FOTDBIS,{16711: 1}
A04768371XWM68DY7D1ZQ,{16814: 2}
A2ZSNAJ679I240,{16889: 5}
A2MFP03IO6TVIT,{16962: 5}
A19ELLOSSUHCAT,{16998: 5}
AS03GL2ZLU98K,{17146: 5}
A3AN922KLRT5AB,{17175: 1}
A3KMKREUKFW2YY,{17186: 4}
ANACL8MCLWFEZ,"{17313: 5, 49961: 4}"
A3MG6W50A24W2T,"{17382: 5, 48949: 5}"
AJEACWTUG3E95,{17455: 3}
AL57G09739JIA,{17498: 2}
AJZWXUIW71092,{17538: 1}
A3S21JKO5A89V,{17592: 1}
A40BPGYBPBFJU,{17597: 5}
A2959AZ2P65C9S,{17634: 5}
AZ47T0G9ASS4E,{17656: 5}
A2Z1QSKEHUPNRT,{17663: 5}
A67XMVAJ2TZPL,{17663: 5}
A1BIGXJDKOYUXR,"{17663: 4, 58335: 5, 66956: 5}"
A12M2YA8KKZTY1,{17663: 4}
A2AIZH368G22SW,{17726: 5}
AKAJIXJ9N1FFK,{18038: 5}
AX1IXCMSETLNK,{18057: 5}
A2CCUA75PGZCF,{18057: 1}
A24X3QKHM8SGFY,{18057: 1}
A3E62ETYO7JOZ8,{18057: 4}
A3RAY6RNZQHU6G,{18057: 1}
A286EG5Q3YH1L8,"{18105: 5, 67370: 5}"
A179E0B9D4Z65F,{18314: 5}
A13HRBF6V8E8K2,{18826: 5}
A313RJPVP8AKC4,{18863: 5}
A2N9S098UA2A1B,"{18876: 5, 29583: 3}"
A2BAP8AY2XINBI,"{18883: 5, 41049: 5}"
ALQSMH8CWB3EI,"{18910: 1, 22971: 4}"
A2YGT6PA3N0VWJ,{19025: 2}
A3L24WM7CWEUGO,{19144: 5}
A3T4BYETVVRIXC,{19178: 5}
AYFM470RZF56L,{19195: 5}
AHJSD182WGBUV,"{19292: 4, 57370: 5}"
A23HFG0EIJ8SAP,{19292: 4}
A39SKP1U6MYLOR,{19377: 4}
A3FIQH8F9UN5IO,{19621: 5}
AJEMXUING477,{19669: 5}
A22WH8TGYZWNG,{19732: 5}
A3CVQOVXNUG0PN,{19733: 3}
A284J9A0E9A8QW,{19773: 4}
A2XNC6UJ41XHWF,{19776: 5}
A1SQR1JBJ56ZK7,"{19776: 5, 26357: 4}"
A1LQO1RRPRR4PR,{20063: 5}
A1HN3VYL002794,"{20096: 5, 54809: 5, 62951: 5}"
A38TDY3CEEVACC,"{20098: 3, 68602: 5}"
ANG3EBVC1S7VM,"{20112: 4, 39188: 5}"
A3QF3ZHK735EBS,{20376: 1}
A5TOC33UFK9PJ,{20459: 5}
A23RC0N6LXYUJH,"{20467: 4, 43003: 5}"
A2JA4PAX9BVB4H,{20498: 1}
A12LZYMD1ERJWA,{20505: 5}
A26DQ201YSP68M,{20505: 5}
A2PHPEA6OTZX2S,{20539: 5}
A17Y354PS9OATV,{20551: 5}
AM3BQN8J3CQP6,{20559: 4}
A142F67BV9ZCVI,{20747: 1}
A1IXSJOBRZAIT3,{20835: 5}
A3NT8X0A4R2JMV,"{20899: 5, 59879: 5}"
A12QCWP4YWIAV6,"{20910: 5, 47677: 5}"
A1J1UWWNAPNTHJ,"{20916: 5, 50357: 5}"
A2LFX1HAKNFY94,"{21002: 4, 52270: 4}"
A1449DKUN8JJC,{21049: 1}
A1PZDP7DHTFHNV,"{21061: 4, 26063: 1}"
AQB28WLID0YHP,"{21165: 4, 35879: 5}"
AQ5JF8BQBFMFF,{21174: 5}
A3V5U3EE48A1BV,{21280: 5}
A3EC483SCE07DC,"{21436: 3, 31060: 3}"
A3NIECA8N59XPC,"{21486: 5, 21817: 1}"
A3RIM2LU1BV6WI,{21754: 5}
A28V9LN0VEF4RF,{22028: 5}
A25L6HIYFOE88L,"{22060: 5, 30203: 5}"
A1G59Q0JM8FTVP,{22074: 5}
A12E2OIZIA73L8,"{22153: 3, 57589: 5}"
A2YPGFDU86H8LK,"{22224: 3, 64863: 4}"
A20CGKF1ANGHJ6,"{22246: 5, 44190: 5}"
A7C7T0SV7KGRD,{22248: 5}
AJHSWLPP29HU3,{22252: 5}
AW6YA6PXH5TV9,"{22340: 3, 44039: 4}"
A22ZZLBL9TM0HN,{22751: 1}
A1NKWZT8LI5SDY,{22830: 1}
A2F6WUM14NORYM,{23146: 5}
ALVX1EZDDX2MQ,"{23165: 5, 36671: 5}"
AQI98XZBWLZYY,{23262: 5}
A3IVTLTWOWDXXC,{23273: 1}
A169ZYI77GT1F3,"{23349: 5, 24230: 5}"
A14BY5XCUJZ3BP,"{23363: 2, 42622: 4}"
A14Z0B1D4ZE5UI,{23469: 5}
A2D17UE7VTFFWA,{23520: 5}
A2E9MRPPV8K4O4,"{23539: 5, 41193: 5}"
A3MLAJONOP2EYB,{23555: 3}
A28U2GNCTIRBJK,{23677: 5}
A27QC91QUMSO17,{23683: 4}
A23F730XFBDPQY,{23718: 5}
AQ4O5V9G2O0GF,"{23806: 5, 66722: 5}"
AWV50HOATTDRS,"{23814: 5, 69897: 5}"
AP5N41KWW21WL,{23911: 1}
A31N3YFZIMUXBW,{23917: 1}
A10Z12GG4QRHH0,"{23920: 5, 37323: 5}"
A33L59328TNKXR,"{23966: 5, 40956: 5}"
A14NOPLBKSM8I3,{24022: 5}
AHTH1HDDUGOK9,{24073: 5}
A2V39I8MTWX7Q6,{24492: 5}
A31TAC5Z15RK2K,"{24605: 3, 29929: 5}"
A4APF2BR0LWMA,{24610: 1}
A1I3GZDWW1PSQL,{24673: 5}
A299I7E6ZBTOAU,{24793: 5}
A2H7KDG7S7YZ0T,{24801: 5}
A132LT43ZJ1U5W,{24866: 5}
A1QEA4T3NHWRHB,{24956: 4}
AS3ENIX20K6HA,{24968: 3}
A3VHF0K9BV6U9T,{25081: 5}
A296DKPYE20CH1,{25402: 1}
A3K7BY9W5GUGB7,{25467: 1}
A21VM9WVF8EOSJ,{25529: 1}
AOGH5JMIBTQBA,"{25597: 5, 50846: 2}"
A10YAQAMK4BBMU,"{25640: 3, 35604: 5}"
A2LXAE8RZ2DLPS,{25704: 4}
A29K4FT5B49MSX,{25731: 5}
A1MA2L3YEXNGU6,{25754: 5}
A1HSGUUHN53Z6M,{25779: 5}
A4VK1KAIO8SD0,{25805: 5}
AL9TLVN19TLN7,{25826: 3}
AEC1M24XVINSG,{25921: 5}
A135HU9AIOP9M8,{25990: 1}
A2J0QU3RYSIR1P,{26020: 4}
A2UIHYXK9TZRXZ,{26046: 5}
AXKTDB1PJ7HK,{26138: 4}
A38N21CX5JOGQ3,{26138: 5}
A2QJ4WOGBD3JB6,{26138: 5}
A2ZG1ZMC3LYUXZ,{26166: 5}
A1LY57930JMFGR,{26166: 3}
A396FW979MVZVG,{26171: 3}
A2YJ9A1K33KX3W,{26344: 2}
A2CJZIYTG2VQ5M,{26356: 5}
A1ZI9Y0WUSB6QZ,{26546: 5}
A2AYIYHER20V3D,{26606: 5}
A35AWG98E86DT1,{26696: 5}
AD9J4ZXGPC76P,{26794: 5}
A1Z5IBM6Q2ZD6M,"{26991: 4, 57778: 4, 63564: 5, 64535: 3}"
AFENXDBVPXHDK,{27170: 5}
A3GM97JEGB0FT2,"{27228: 5, 56051: 5}"
A921BQNIL8E58,"{27315: 1, 44167: 5}"
A2TFKD0F1O5DYZ,{27570: 4}
